column,dtype,rows,missing,missing_percent,unique
date,datetime64[ns],35781,0,0.0,2011
reservoir,object,35781,0,0.0,18
latitude,float64,35781,0,0.0,18
longitude,float64,35781,0,0.0,18
water_level,float64,35781,257,0.72,8586
live_storage,float64,35781,702,1.96,10866
storage_percentage,float64,35781,27799,77.69,3629
inflow,float64,35781,4140,11.57,7725
powerhouse_discharge,float64,35781,4910,13.72,7355
spillway_release,float64,35781,4944,13.82,2811
total_outflow,float64,35781,1120,3.13,6919
rainfall,float64,35781,3779,10.56,1030
rule_level,float64,35781,25745,71.95,5
blue_level,float64,35781,12064,33.72,12
orange_level,float64,35781,12064,33.72,12
red_level,float64,35781,2009,5.61,17
FRL,float64,35781,0,0.0,18
MWL,float64,35781,0,0.0,18
