reservoir_a,reservoir_b,overlap_days,correlation,abs_correlation
Anathode,Anayirankal,1998,0.9300850682458641,0.9300850682458641
Anathode,Banasura Sagar,1977,0.9513551812930638,0.9513551812930638
Anathode,Chenkulam,1992,-0.17241110027029832,0.17241110027029832
Anathode,Erattayar,2,-1.0,1.0
Anathode,Idamalayar,1994,0.9598005148877115,0.9598005148877115
Anathode,Idukki,1999,0.959572163240927,0.959572163240927
Anathode,Kakkayam,1607,0.705222540258259,0.705222540258259
Anathode,Kallar,2,-1.0,1.0
Anathode,Kallarkutty,1988,0.08749384826737207,0.08749384826737207
Anathode,Kundala,1998,0.6412210535943713,0.6412210535943713
Anathode,Mattupetty,1997,0.9467971067406445,0.9467971067406445
Anathode,Moozhiyar,1995,-0.24552882781795246,0.24552882781795246
Anathode,Pamba,1995,0.42349965782819504,0.42349965782819504
Anathode,Pambla,1978,0.09328822128393575,0.09328822128393575
Anathode,Ponmudi,1996,0.593854151372371,0.593854151372371
Anathode,Poringalkuthu,1999,0.17374207603271008,0.17374207603271008
Anathode,Sholayar,1997,0.9626816199420855,0.9626816199420855
Anayirankal,Banasura Sagar,1979,0.880312883313436,0.880312883313436
Anayirankal,Chenkulam,1994,-0.29619864862294804,0.29619864862294804
Anayirankal,Erattayar,2,-1.0,1.0
Anayirankal,Idamalayar,1995,0.9433493532636936,0.9433493532636936
Anayirankal,Idukki,1999,0.9632989916528265,0.9632989916528265
Anayirankal,Kakkayam,1609,0.44037604531297625,0.44037604531297625
Anayirankal,Kallar,2,-1.0,1.0
Anayirankal,Kallarkutty,1990,-0.05016126795818598,0.05016126795818598
Anayirankal,Kundala,2000,0.6452693463623724,0.6452693463623724
Anayirankal,Mattupetty,1999,0.9368379637693954,0.9368379637693954
Anayirankal,Moozhiyar,1997,-0.3590763426914038,0.3590763426914038
Anayirankal,Pamba,1995,0.23151182421189298,0.23151182421189298
Anayirankal,Pambla,1980,-0.06415985164053926,0.06415985164053926
Anayirankal,Ponmudi,1998,0.5203235673750576,0.5203235673750576
Anayirankal,Poringalkuthu,2000,-0.0004939819055126626,0.0004939819055126626
Anayirankal,Sholayar,1999,0.9256325471817012,0.9256325471817012
