reservoir_a,reservoir_b,overlap_days,correlation,abs_correlation
Anathode,Anayirankal,1216,0.9393630402292588,0.9393630402292588
Anathode,Banasura Sagar,1214,0.9588012011201127,0.9588012011201127
Anathode,Chenkulam,1212,-0.3811328433258884,0.3811328433258884
Anathode,Erattayar,0,,
Anathode,Idamalayar,1214,0.9597842178848829,0.9597842178848829
Anathode,Idukki,1218,0.9597119718300527,0.9597119718300527
Anathode,Kakkayam,862,0.648142183974061,0.648142183974061
Anathode,Kallar,0,,
Anathode,Kallarkutty,1216,-0.07344821675022749,0.07344821675022749
Anathode,Kundala,1216,0.5772207622529307,0.5772207622529307
Anathode,Mattupetty,1215,0.9558866003732562,0.9558866003732562
Anathode,Moozhiyar,1213,-0.5442200746701786,0.5442200746701786
Anathode,Pamba,1215,0.38262299646279274,0.38262299646279274
Anathode,Pambla,1196,-0.07687439748081847,0.07687439748081847
Anathode,Ponmudi,1215,0.5186301035801605,0.5186301035801605
Anathode,Poringalkuthu,1217,0.06825194369080928,0.06825194369080928
Anathode,Sholayar,1216,0.9690902381931824,0.9690902381931824
Anayirankal,Banasura Sagar,1216,0.8895811611189564,0.8895811611189564
Anayirankal,Chenkulam,1214,-0.4913414588348877,0.4913414588348877
Anayirankal,Erattayar,0,,
Anayirankal,Idamalayar,1215,0.9510555725250325,0.9510555725250325
Anayirankal,Idukki,1218,0.9712644866862489,0.9712644866862489
Anayirankal,Kakkayam,864,0.360794873594017,0.360794873594017
Anayirankal,Kallar,0,,
Anayirankal,Kallarkutty,1218,-0.1936630102307031,0.1936630102307031
Anayirankal,Kundala,1218,0.6134039975634267,0.6134039975634267
Anayirankal,Mattupetty,1217,0.9502078534561166,0.9502078534561166
Anayirankal,Moozhiyar,1215,-0.654725278317892,0.654725278317892
Anayirankal,Pamba,1215,0.13170443685662536,0.13170443685662536
Anayirankal,Pambla,1198,-0.21739139094725787,0.21739139094725787
Anayirankal,Ponmudi,1217,0.46529152742658947,0.46529152742658947
Anayirankal,Poringalkuthu,1218,-0.1025042946861354,0.1025042946861354
Anayirankal,Sholayar,1218,0.9373341169092148,0.9373341169092148
Banasura Sagar,Chenkulam,1212,-0.4148441685958514,0.4148441685958514
Banasura Sagar,Erattayar,0,,
Banasura Sagar,Idamalayar,1213,0.9744383028016471,0.9744383028016471
Banasura Sagar,Idukki,1216,0.9397635372142252,0.9397635372142252
Banasura Sagar,Kakkayam,864,0.7472386503883224,0.7472386503883224
Banasura Sagar,Kallar,0,,
Banasura Sagar,Kallarkutty,1216,-0.1253177408893946,0.1253177408893946
Banasura Sagar,Kundala,1216,0.5289628510712406,0.5289628510712406
Banasura Sagar,Mattupetty,1215,0.9130869219522247,0.9130869219522247
Banasura Sagar,Moozhiyar,1213,-0.5951277657934633,0.5951277657934633
Banasura Sagar,Pamba,1213,0.25430041852837965,0.25430041852837965
Banasura Sagar,Pambla,1196,-0.1359954062583561,0.1359954062583561
Banasura Sagar,Ponmudi,1215,0.444896470794321,0.444896470794321
Banasura Sagar,Poringalkuthu,1216,-0.0018114408287338373,0.0018114408287338373
Banasura Sagar,Sholayar,1216,0.9598582021130753,0.9598582021130753
Chenkulam,Erattayar,0,,
Chenkulam,Idamalayar,1211,-0.44620898816486815,0.44620898816486815
Chenkulam,Idukki,1214,-0.4922480735474412,0.4922480735474412
Chenkulam,Kakkayam,860,0.34327921304190706,0.34327921304190706
Chenkulam,Kallar,0,,
Chenkulam,Kallarkutty,1214,0.5302571775677081,0.5302571775677081
Chenkulam,Kundala,1214,-0.3190895787716353,0.3190895787716353
Chenkulam,Mattupetty,1213,-0.4306197096096774,0.4306197096096774
Chenkulam,Moozhiyar,1211,0.5782971500149588,0.5782971500149588
Chenkulam,Pamba,1211,0.11060363144326918,0.11060363144326918
Chenkulam,Pambla,1194,0.5705362616448215,0.5705362616448215
Chenkulam,Ponmudi,1213,0.08869087632048057,0.08869087632048057
Chenkulam,Poringalkuthu,1214,0.3917299465446758,0.3917299465446758
Chenkulam,Sholayar,1214,-0.4393165246288205,0.4393165246288205
Erattayar,Idamalayar,0,,
Erattayar,Idukki,0,,
Erattayar,Kakkayam,0,,
Erattayar,Kallar,0,,
Erattayar,Kallarkutty,0,,
Erattayar,Kundala,0,,
Erattayar,Mattupetty,0,,
Erattayar,Moozhiyar,0,,
Erattayar,Pamba,0,,
Erattayar,Pambla,0,,
Erattayar,Ponmudi,0,,
Erattayar,Poringalkuthu,0,,
Erattayar,Sholayar,0,,
Idamalayar,Idukki,1215,0.9809306261813006,0.9809306261813006
Idamalayar,Kakkayam,862,0.7230271938942366,0.7230271938942366
Idamalayar,Kallar,0,,
Idamalayar,Kallarkutty,1215,-0.13058437518596408,0.13058437518596408
Idamalayar,Kundala,1215,0.582036526606981,0.582036526606981
Idamalayar,Mattupetty,1214,0.9605539616083529,0.9605539616083529
Idamalayar,Moozhiyar,1212,-0.6137471718915894,0.6137471718915894
Idamalayar,Pamba,1212,0.22188743478631737,0.22188743478631737
Idamalayar,Pambla,1195,-0.14118215060568487,0.14118215060568487
Idamalayar,Ponmudi,1214,0.48026123787216746,0.48026123787216746
Idamalayar,Poringalkuthu,1215,-0.005662459116466117,0.005662459116466117
Idamalayar,Sholayar,1215,0.9835994535627849,0.9835994535627849
Idukki,Kakkayam,864,0.654741286059521,0.654741286059521
Idukki,Kallar,0,,
Idukki,Kallarkutty,1218,-0.20717978363482176,0.20717978363482176
Idukki,Kundala,1218,0.58201973852365,0.58201973852365
Idukki,Mattupetty,1217,0.9507582299257514,0.9507582299257514
Idukki,Moozhiyar,1215,-0.6532269710500288,0.6532269710500288
Idukki,Pamba,1215,0.15575020339447787,0.15575020339447787
Idukki,Pambla,1198,-0.21644718676900282,0.21644718676900282
Idukki,Ponmudi,1217,0.4375474386877867,0.4375474386877867
Idukki,Poringalkuthu,1218,-0.08204753072375008,0.08204753072375008
Idukki,Sholayar,1218,0.9612248235170682,0.9612248235170682
Kakkayam,Kallar,0,,
Kakkayam,Kallarkutty,864,0.6389693978433196,0.6389693978433196
Kakkayam,Kundala,864,0.2356259397334329,0.2356259397334329
Kakkayam,Mattupetty,863,0.46805693110157,0.46805693110157
Kakkayam,Moozhiyar,864,0.2760622697400764,0.2760622697400764
Kakkayam,Pamba,863,0.44049952335319326,0.44049952335319326
Kakkayam,Pambla,862,0.6445590106542788,0.6445590106542788
Kakkayam,Ponmudi,863,0.4808732630018972,0.4808732630018972
Kakkayam,Poringalkuthu,864,0.611342609662141,0.611342609662141
Kakkayam,Sholayar,864,0.5677037086465592,0.5677037086465592
Kallar,Kallarkutty,0,,
Kallar,Kundala,0,,
Kallar,Mattupetty,0,,
Kallar,Moozhiyar,0,,
Kallar,Pamba,0,,
Kallar,Pambla,0,,
Kallar,Ponmudi,0,,
Kallar,Poringalkuthu,0,,
Kallar,Sholayar,0,,
Kallarkutty,Kundala,1218,0.17584130345739923,0.17584130345739923
Kallarkutty,Mattupetty,1217,-0.06102724523898237,0.06102724523898237
Kallarkutty,Moozhiyar,1215,0.5204347018360768,0.5204347018360768
Kallarkutty,Pamba,1215,0.4094924732375615,0.4094924732375615
