,Anathode,Anayirankal,Banasura Sagar,Chenkulam,Erattayar,Idamalayar,Idukki,Kakkayam,Kallar,Kallarkutty,Kundala,Mattupetty,Moozhiyar,Pamba,Pambla,Ponmudi,Poringalkuthu,Sholayar
Anathode,inf,74.526,290.308,75.514,52.332,109.297,58.976,279.81,53.804,72.825,89.329,85.072,9.989,5.546,72.156,69.559,122.105,117.713
Anayirankal,74.526,inf,230.146,19.135,24.773,59.731,31.317,221.35,21.212,22.78,14.938,14.117,79.535,69.016,27.93,17.388,71.319,62.094
Banasura Sagar,290.308,230.146,inf,219.177,242.363,181.014,232.036,13.616,243.838,220.286,217.755,216.062,289.653,285.954,219.52,225.32,168.222,173.08
Chenkulam,75.514,19.135,219.177,inf,23.707,42.752,19.591,209.675,24.663,4.833,23.429,14.581,78.236,70.364,9.91,6.193,55.172,47.234
Erattayar,52.332,24.773,242.363,23.707,inf,63.344,14.695,232.628,5.754,22.077,38.425,32.971,56.029,47.04,23.487,17.549,76.275,69.581
Idamalayar,109.297,59.731,181.014,42.752,63.344,inf,51.422,170.633,66.123,42.056,54.615,47.496,108.989,104.956,39.857,48.138,13.005,11.103
Idukki,58.976,31.317,232.036,19.591,14.695,51.422,inf,221.891,19.823,15.416,41.307,33.385,60.357,54.244,13.336,15.686,64.422,59.01
Kakkayam,279.81,221.35,13.616,209.675,232.628,170.633,221.891,inf,234.327,210.571,209.375,207.237,278.858,275.564,209.577,215.776,157.737,163.12
Kallar,53.804,21.212,243.838,24.663,5.754,66.123,19.823,234.327,inf,24.139,35.674,31.425,58.395,48.36,26.598,18.555,78.921,71.632
Kallarkutty,72.825,22.78,220.286,4.833,22.077,42.056,15.416,210.571,24.139,inf,28.239,19.413,75.054,67.799,5.277,6.417,54.798,47.604
Kundala,89.329,14.938,217.755,23.429,38.425,54.615,41.307,209.375,35.674,28.239,inf,9.186,94.051,83.837,33.303,25.637,64.629,54.393
Mattupetty,85.072,14.117,216.062,14.581,32.971,47.496,33.385,207.237,31.425,19.413,9.186,inf,88.996,79.68,24.327,17.818,58.377,48.691
Moozhiyar,9.989,79.535,289.653,78.236,56.029,108.989,60.357,278.858,58.395,75.054,94.051,88.996,inf,13.827,73.693,72.55,121.553,118.01
Pamba,5.546,69.016,285.954,70.364,47.04,104.956,54.244,275.564,48.36,67.799,83.837,79.68,13.827,inf,67.32,64.363,117.827,113.153
Pambla,72.156,27.93,219.52,9.91,23.487,39.857,13.336,209.577,26.598,5.277,33.303,24.327,73.693,67.32,inf,10.92,52.8,46.464
Ponmudi,69.559,17.388,225.32,6.193,17.549,48.138,15.686,215.776,18.555,6.417,25.637,17.818,72.55,64.363,10.92,inf,60.755,53.141
Poringalkuthu,122.105,71.319,168.222,55.172,76.275,13.005,64.422,157.737,78.921,54.798,64.629,58.377,121.553,117.827,52.8,60.755,inf,10.922
Sholayar,117.713,62.094,173.08,47.234,69.581,11.103,59.01,163.12,71.632,47.604,54.393,48.691,118.01,113.153,46.464,53.141,10.922,inf
