model,target,MAE,RMSE,R2,Bias,negative_count,negative_pct,n
LSTM_V3,target_1d,1.7564476063672725,3.0593054143035703,0.7548554196708562,-0.33894242739636365,0,0.0,1100
HistGradientBoosting,target_1d,2.4142107607180554,3.2979249820004997,0.715122486072193,1.201364854924843,0,0.0,1100
Persistence,target_1d,1.8247545454545455,3.303606307713381,0.714140125326697,-0.06857272727272726,0,0.0,1100
Rolling_Mean,target_1d,2.236184415584416,3.998068063137096,0.5813250354601092,0.24350129870129872,0,0.0,1100
LSTM_V3,target_3d,1.98273963976,3.507957965763985,0.6565349173043555,-0.24093393480363634,0,0.0,1100
Persistence,target_3d,2.1427818181818186,3.8782753430311825,0.5801916145484713,0.05878181818181818,0,0.0,1100
HistGradientBoosting,target_3d,3.0669446230437885,4.328085059339988,0.47716409372501634,1.9841062896076367,0,0.0,1100
Rolling_Mean,target_3d,2.457380519480519,4.407457466090727,0.45781176366543674,0.37085584415584416,0,0.0,1100
LSTM_V3,target_7d,2.5416676984363633,4.429987965891256,0.5315968859179374,-0.31392131529090905,0,0.0,1100
Persistence,target_7d,2.791163636363636,4.862266456181633,0.4357232055741912,-0.24600000000000002,0,0.0,1100
Rolling_Mean,target_7d,2.9430532467532466,5.2066690966137505,0.352954776144775,0.06607402597402597,0,0.0,1100
HistGradientBoosting,target_7d,4.29492684926696,5.981932074003082,0.14592180306246527,3.1634500228903875,0,0.0,1100
