period,model,target,samples,MAE,RMSE,R2,Bias
JAN-APR 2025,Persistence,target_1d,692,2.2692052805021676,3.7839034575660455,0.6569281715475377,-0.12203839961343932
JAN-APR 2025,Persistence,target_3d,692,2.4633816779956645,4.301226764661305,0.5434542369265779,0.0019652984291908273
JAN-APR 2025,Persistence,target_7d,692,2.882760294055636,4.863925804277584,0.41834523246888444,0.019435684789739976
JAN-APR 2025,RollingMean,target_1d,692,2.1072130633510526,3.572802399568583,0.6941398075840679,-0.03456730134754333
JAN-APR 2025,RollingMean,target_3d,692,2.2736768413111066,3.9321880107620206,0.6184353023619062,0.08943639669508682
JAN-APR 2025,RollingMean,target_7d,692,2.5652520719491125,4.413892330421648,0.5210006993493577,0.10690678305563589
JAN-APR 2025,HistGradientBoosting,target_1d,692,2.4956040804038833,3.517494768804046,0.703536055244341,0.8781793118828876
JAN-APR 2025,HistGradientBoosting,target_3d,692,2.738309610282714,4.043829538009914,0.59646118157594,1.305272049875818
JAN-APR 2025,HistGradientBoosting,target_7d,692,3.6880482158520076,5.121025029860214,0.3552294299789125,2.3427752524041066
JAN-APR 2025,LSTM_V2,target_1d,692,2.3935021649197976,3.7002958967015576,0.6719214243389909,0.05171838362789005
JAN-APR 2025,LSTM_V2,target_3d,692,2.615052221300867,4.005823450850714,0.6040108861279685,0.006761687048843941
JAN-APR 2025,LSTM_V2,target_7d,692,3.2610302485946536,4.6929349135472105,0.4585224300228138,-0.4224170790209537
JUN-AUG 2025,Persistence,target_1d,408,1.0709314645294117,2.267195724083895,0.8287832856296649,0.022106944009803838
JUN-AUG 2025,Persistence,target_3d,408,1.5990196156078431,3.0287593660948335,0.6433097970536359,0.15514722413235302
JUN-AUG 2025,Persistence,target_7d,408,2.635808958397059,4.859450745540948,0.45552082925567916,-0.6962017596029411
JUN-AUG 2025,RollingMean,target_1d,408,2.4549298636260506,4.630906321882847,0.2856679721126635,0.715125151292717
JUN-AUG 2025,RollingMean,target_3d,408,2.7689566180595238,5.113533375288712,-0.01672576767141143,0.8481654314152661
JUN-AUG 2025,RollingMean,target_7d,408,3.5838341088536416,6.328137093605922,0.07666635783753994,-0.0031835523200279413
JUN-AUG 2025,HistGradientBoosting,target_1d,408,2.2761602170928157,2.887592505696482,0.7222590331041376,1.7495105814163274
JUN-AUG 2025,HistGradientBoosting,target_3d,408,3.6243355249792644,4.771644070778754,0.11468520353273581,3.1354625343464533
JUN-AUG 2025,HistGradientBoosting,target_7d,408,5.3242389872072815,7.210801393821386,-0.19887518001647142,4.555376780569345
JUN-AUG 2025,LSTM_V2,target_1d,408,3.0929426392781862,4.221752463181821,0.4063183003015861,1.8765327638590685
JUN-AUG 2025,LSTM_V2,target_3d,408,3.8510001943870837,5.15747694710078,-0.03427548640753719,2.471616932916838
JUN-AUG 2025,LSTM_V2,target_7d,408,4.455344301348039,6.285682783417084,0.08901375207794704,1.5406088025735294
