model,target,samples,MAE,RMSE,R2,Bias,negative_predictions,negative_pct
Persistence,target_1d,1100,1.8247546287595457,3.3036063424479982,0.7141401284190738,-0.06857358125136367,0,0.0
Persistence,target_3d,1100,2.1427819312190906,3.878275407345541,0.5801916067549545,0.05878186723545461,0,0.0
Persistence,target_7d,1100,2.7911637986477276,4.862266444827789,0.4357231584443606,-0.24600074913045453,0,0.0
RollingMean,target_1d,1100,2.23618438563487,3.9980679704851823,0.5813250681981676,0.24350044472266233,0,0.0
RollingMean,target_3d,1100,2.4573806130505194,4.407457542381871,0.4578117528123974,0.37085589320948054,0,0.0
RollingMean,target_7d,1100,2.943053409273701,5.206669016484736,0.3529547389957437,0.06607327684357141,0,0.0
HistGradientBoosting,target_1d,1100,2.414210356557596,3.297924715748541,0.7151225411425635,1.2013640009461997,0,0.0
HistGradientBoosting,target_3d,1100,3.066944676824707,4.3280851556970825,0.4771640780794544,1.98410633866129,0,0.0
HistGradientBoosting,target_7d,1100,4.2949262474092365,5.981931652222716,0.14592184817947795,3.16344927375994,0,0.0
LSTM_V2,target_1d,1100,2.652930995409091,3.901847858672869,0.6012347781466058,0.7285586264772727,66,6.0
LSTM_V2,target_3d,1100,3.073476560409209,4.467751724916539,0.44287597521914424,0.9209989055162454,188,17.09090909090909
LSTM_V2,target_7d,1100,3.7040121881613635,5.339421083112022,0.31953927567486007,0.30568706615227276,223,20.272727272727273
