Scenario,Metric,Baseline,Forecast-Aware,Absolute Diff,Improvement (%)
NORMAL,total_overflow_events,0.0,0.0,0.0,0.0
NORMAL,total_red_violations,0.0,0.0,0.0,0.0
NORMAL,total_release_mcm,544.5,544.5,0.0,0.0
NORMAL,total_water_retained_mcm,389.06,389.06,0.0,0.0
NORMAL,avg_storage_utilization_pct,49.52667032535972,49.52667032535972,0.0,0.0
NORMAL,peak_downstream_flow_mcm,10.0,10.0,0.0,0.0
NORMAL,downstream_capacity_violations,0.0,0.0,0.0,0.0
HEAVY,total_overflow_events,8.0,8.0,0.0,0.0
HEAVY,total_red_violations,11.0,11.0,0.0,0.0
HEAVY,total_release_mcm,2208.38,2208.38,0.0,0.0
HEAVY,total_water_retained_mcm,620.1499999999999,620.1499999999999,0.0,0.0
HEAVY,avg_storage_utilization_pct,75.08476025851117,75.08476025851117,0.0,0.0
HEAVY,peak_downstream_flow_mcm,200.0,200.0,0.0,0.0
HEAVY,downstream_capacity_violations,3.0,3.0,0.0,0.0
EXTREME,total_overflow_events,0.0,0.0,0.0,0.0
EXTREME,total_red_violations,1.0,1.0,0.0,0.0
EXTREME,total_release_mcm,842.75,842.75,0.0,0.0
EXTREME,total_water_retained_mcm,554.21,554.21,0.0,0.0
EXTREME,avg_storage_utilization_pct,65.01641996279609,65.01641996279609,0.0,0.0
EXTREME,peak_downstream_flow_mcm,50.0,50.0,0.0,0.0
EXTREME,downstream_capacity_violations,0.0,0.0,0.0,0.0
MULTI_RESERVOIR,total_overflow_events,0.0,0.0,0.0,0.0
MULTI_RESERVOIR,total_red_violations,1.0,1.0,0.0,0.0
MULTI_RESERVOIR,total_release_mcm,812.75,812.75,0.0,0.0
MULTI_RESERVOIR,total_water_retained_mcm,604.19,604.19,0.0,0.0
MULTI_RESERVOIR,avg_storage_utilization_pct,60.05132936972492,60.05132936972492,0.0,0.0
MULTI_RESERVOIR,peak_downstream_flow_mcm,50.0,50.0,0.0,0.0
MULTI_RESERVOIR,downstream_capacity_violations,0.0,0.0,0.0,0.0
