day,date,controller,mpc_status,mpc_score,forecast_used,candidates_evaluated,Reservoir_A_storage,Reservoir_A_gate,Reservoir_A_release,Reservoir_A_spill,Reservoir_A_inflow,Reservoir_B_storage,Reservoir_B_gate,Reservoir_B_release,Reservoir_B_spill,Reservoir_B_inflow,Reservoir_C_storage,Reservoir_C_gate,Reservoir_C_release,Reservoir_C_spill,Reservoir_C_inflow,Reservoir_D_storage,Reservoir_D_gate,Reservoir_D_release,Reservoir_D_spill,Reservoir_D_inflow,ds_flow
1,2025-01-01,MPC,CORRECTED,1.19,True,1296,5.41,0.0,0.0,0.0,0.0,13.68,0.5,5.0,0.0,8.05,177.25,0.0,0.0,0.0,3.1,210.8,0.0,0.0,0.0,10.08,0.0
2,2025-01-02,MPC,OPTIMAL,1.2422,True,1296,5.41,0.0,0.0,0.0,0.0,16.08,0.7,7.0,0.0,9.4,182.75,0.0,0.0,0.0,1.25,220.67,0.0,0.0,0.0,9.87,0.0
3,2025-01-03,MPC,OPTIMAL,0.7108,True,1296,5.41,0.0,0.0,0.0,0.0,15.79,0.7,7.0,0.0,6.71,191.95,0.0,0.0,0.0,3.25,227.04,0.0,0.0,0.0,6.37,0.0
4,2025-01-04,MPC,OPTIMAL,1.05,True,1296,5.41,0.0,0.0,0.0,0.0,17.59,0.7,7.0,0.0,8.8,200.38,0.0,0.0,0.0,2.48,244.31,0.0,0.0,0.0,17.27,0.0
5,2025-01-05,MPC,OPTIMAL,1.56,True,1296,5.41,0.0,0.0,0.0,0.0,16.98,1.0,10.0,0.0,9.39,207.54,0.0,0.0,0.0,1.21,258.53,0.0,0.0,0.0,14.22,0.0
6,2025-01-06,MPC,OPTIMAL,1.11,True,1296,5.41,0.0,0.0,0.0,0.0,12.18,0.7,7.0,0.0,2.2,219.14,0.0,0.0,0.0,3.1,271.78,0.0,0.0,0.0,13.25,0.0
7,2025-01-07,MPC,OPTIMAL,1.05,True,1296,5.41,0.0,0.0,0.0,0.0,16.09,0.7,7.0,0.0,10.91,225.74,0.0,0.0,0.0,0.65,290.4,0.0,0.0,0.0,18.62,0.0
8,2025-01-08,MPC,OPTIMAL,1.013,True,1296,5.41,0.0,0.0,0.0,0.0,13.25,0.5,5.0,0.0,2.16,233.81,0.0,0.0,0.0,2.12,299.53,0.0,0.0,0.0,9.13,0.0
9,2025-01-09,MPC,OPTIMAL,0.75,True,1296,5.41,0.0,0.0,0.0,0.0,16.52,0.5,5.0,0.0,8.27,240.81,0.0,0.0,0.0,2.75,313.15,0.0,0.0,0.0,13.62,0.0
10,2025-01-10,MPC,OPTIMAL,5.62,True,1296,5.41,0.0,0.0,0.0,0.0,17.76,0.7,7.0,0.0,8.24,246.61,0.0,0.0,0.0,1.55,300.59,0.15,30.0,0.0,17.44,30.0
11,2025-01-11,MPC,OPTIMAL,1.08,True,1296,6.42,0.0,0.0,0.0,1.01,16.35,0.7,7.0,0.0,5.59,257.98,0.0,0.0,0.0,5.42,316.57,0.0,0.0,0.0,15.98,0.0
12,2025-01-12,MPC,OPTIMAL,5.58,True,1296,7.43,0.0,0.0,0.0,1.01,16.27,0.7,7.0,0.0,6.92,271.12,0.0,0.0,0.0,7.19,298.36,0.15,30.0,0.0,11.79,30.0
13,2025-01-13,MPC,OPTIMAL,1.08,True,1296,8.44,0.0,0.0,0.0,1.01,17.64,0.7,7.0,0.0,8.37,277.07,0.0,0.0,0.0,0.0,306.44,0.0,0.0,0.0,8.08,0.0
14,2025-01-14,MPC,OPTIMAL,9.0407,True,1296,8.44,0.0,0.0,0.0,0.0,16.12,0.7,7.0,0.0,5.48,260.74,0.15,22.5,0.0,0.22,286.06,0.15,30.0,0.0,9.62,30.0
15,2025-01-15,MPC,OPTIMAL,1.2525,True,1296,8.7,0.15,0.75,0.0,1.01,14.69,0.7,7.0,0.0,5.57,268.78,0.0,0.0,0.0,2.09,313.59,0.0,0.0,0.0,9.53,0.0
16,2025-01-16,MPC,OPTIMAL,5.6925,True,1296,7.95,0.15,0.75,0.0,0.0,13.26,0.7,7.0,0.0,5.57,276.02,0.0,0.0,0.0,1.29,297.85,0.15,30.0,0.0,14.26,30.0
17,2025-01-17,MPC,OPTIMAL,0.85,True,1296,7.95,0.0,0.0,0.0,0.0,12.205,0.5,5.0,0.0,3.27,282.22,0.0,0.0,0.0,0.25,312.07,0.0,0.0,0.0,14.22,0.0
18,2025-01-18,MPC,OPTIMAL,6.1,True,1296,7.95,0.0,0.0,0.0,0.0,15.13,0.3,3.0,0.0,5.25,288.17,0.0,0.0,0.0,1.7,293.08,0.15,30.0,0.0,11.01,30.0
19,2025-01-19,MPC,OPTIMAL,9.1775,True,1296,9.02,0.15,0.75,0.0,1.82,16.82,0.7,7.0,0.0,8.69,274.49,0.15,22.5,0.0,6.27,271.67,0.15,30.0,0.0,8.59,30.0
20,2025-01-20,MPC,OPTIMAL,5.2218,True,1296,8.55,0.15,0.75,0.0,0.28,17.9,0.7,7.0,0.0,8.08,282.83,0.0,0.0,0.0,2.39,307.77,0.0,0.0,0.0,18.1,0.0
21,2025-01-21,MPC,OPTIMAL,9.0975,True,1296,8.08,0.15,0.75,0.0,0.28,15.905,0.7,7.0,0.0,4.33,270.79,0.15,22.5,0.0,4.51,291.77,0.15,30.0,0.0,14.0,30.0
22,2025-01-22,MPC,OPTIMAL,1.2225,True,1296,7.61,0.15,0.75,0.0,0.28,17.45,0.7,7.0,0.0,7.87,280.17,0.0,0.0,0.0,3.43,315.51,0.0,0.0,0.0,5.74,0.0
23,2025-01-23,MPC,OPTIMAL,9.015,True,1296,7.89,0.0,0.0,0.0,0.28,15.545,0.7,7.0,0.0,4.42,270.3,0.15,22.5,0.0,6.68,299.71,0.15,30.0,0.0,14.2,30.0
24,2025-01-24,MPC,OPTIMAL,5.7225,True,1296,7.52,0.15,0.75,0.0,0.38,15.28,0.7,7.0,0.0,6.06,277.69,0.0,0.0,0.0,1.44,295.28,0.15,30.0,0.0,7.57,30.0
25,2025-01-25,MPC,OPTIMAL,8.725,True,1296,7.67,0.0,0.0,0.0,0.15,14.7,0.5,5.0,0.0,4.42,265.49,0.15,22.5,0.0,4.35,269.79,0.15,30.0,0.0,4.51,30.0
26,2025-01-26,MPC,OPTIMAL,0.81,True,1296,8.16,0.0,0.0,0.0,0.49,14.135,0.5,5.0,0.0,3.76,269.74,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,3.21,0.0
27,2025-01-27,MPC,OPTIMAL,0.49,True,1296,8.21,0.0,0.0,0.0,0.05,15.555,0.3,3.0,0.0,4.42,279.42,0.0,0.0,0.0,5.43,296.0,0.0,0.0,0.0,5.0,0.0
28,2025-01-28,MPC,OPTIMAL,4.7419,True,1296,8.21,0.0,0.0,0.0,0.0,15.365,0.5,5.0,0.0,4.81,284.19,0.0,0.0,0.0,2.22,300.1,0.0,0.0,0.0,4.1,0.0
29,2025-01-30,MPC,OPTIMAL,8.425,True,1296,8.21,0.0,0.0,0.0,0.0,16.235,0.3,3.0,0.0,3.87,273.31,0.15,22.5,0.0,7.37,273.95,0.15,30.0,0.0,3.85,30.0
30,2025-01-31,MPC,OPTIMAL,0.85,True,1296,8.21,0.0,0.0,0.0,0.0,16.195,0.5,5.0,0.0,4.96,281.73,0.0,0.0,0.0,5.87,297.99,0.0,0.0,0.0,6.04,0.0
31,2025-02-01,MPC,OPTIMAL,8.685,True,1296,8.21,0.0,0.0,0.0,0.0,16.765,0.5,5.0,0.0,5.57,274.5,0.15,22.5,0.0,11.02,283.08,0.15,30.0,0.0,15.09,30.0
32,2025-02-03,MPC,OPTIMAL,0.81,True,1296,8.21,0.0,0.0,0.0,0.0,15.645,0.5,5.0,0.0,3.88,278.75,0.0,0.0,0.0,0.0,321.45,0.0,0.0,0.0,20.37,0.0
