model,target,MAE,RMSE,R2,Bias,negative_count,negative_pct,n
LSTM_V3,target_1d,1.7564476063672725,3.0593054143035703,0.7548554196708562,-0.3389424273963636,0,0.0,1100
HistGradientBoosting,target_1d,2.4142107607180554,3.2979249820005,0.715122486072193,1.201364854924843,0,0.0,1100
Persistence,target_1d,1.8247545454545453,3.303606307713381,0.714140125326697,-0.0685727272727272,0,0.0,1100
Rolling_Mean,target_1d,2.236184415584416,3.998068063137096,0.5813250354601092,0.2435012987012987,0,0.0,1100
LSTM_V3,target_3d,1.98273963976,3.507957965763985,0.6565349173043555,-0.2409339348036363,0,0.0,1100
Persistence,target_3d,2.1427818181818186,3.8782753430311834,0.5801916145484713,0.0587818181818181,0,0.0,1100
HistGradientBoosting,target_3d,3.0669446230437885,4.328085059339988,0.4771640937250163,1.984106289607637,0,0.0,1100
Rolling_Mean,target_3d,2.457380519480519,4.407457466090727,0.4578117636654367,0.3708558441558441,0,0.0,1100
LSTM_V3,target_7d,2.5416676984363638,4.429987965891256,0.5315968859179374,-0.313921315290909,0,0.0,1100
Persistence,target_7d,2.791163636363636,4.862266456181633,0.4357232055741912,-0.246,0,0.0,1100
Rolling_Mean,target_7d,2.943053246753246,5.206669096613751,0.352954776144775,0.0660740259740259,0,0.0,1100
HistGradientBoosting,target_7d,4.29492684926696,5.981932074003082,0.1459218030624652,3.1634500228903875,0,0.0,1100
