Reservoir,Horizon,MAE,RMSE,R2
Anathode,1d,1.8274115943661973,3.236368559468633,0.17998176381834952
Anathode,3d,2.0002596183098595,3.46344055410098,0.02706270219595297
Anathode,7d,3.047771975633803,4.476859863738495,-0.2734936181234291
Anayirankal,1d,0.3247652407162162,0.4263885681827506,0.5567085611765199
Anayirankal,3d,0.37129194656756753,0.4697269695437851,0.5172615236204118
Anayirankal,7d,0.4145708424729731,0.4922395853829434,0.4097676851210629
Banasura Sagar,1d,1.6847514192063493,2.3815596024131547,-0.13431662989327275
Banasura Sagar,3d,1.6718588965079364,2.29706826162399,-0.04758640441198181
Banasura Sagar,7d,1.6330660104761907,2.2339277904948367,0.03271311967588719
Chenkulam,1d,0.8499604418309858,1.2456122945993235,0.6224277365302335
Chenkulam,3d,1.0886915038028173,1.50943840458688,0.38439338643788346
Chenkulam,7d,1.416809859859155,1.9160918903660853,-0.0878573372979925
Idamalayar,1d,2.2798306044225347,2.8762853027127107,0.5912966452935231
Idamalayar,3d,2.3676280586760567,3.2185551869527695,0.4801059421054181
Idamalayar,7d,3.14501902484507,4.7239613567896335,0.3031714915148799
Idukki,1d,3.6810424915492956,4.791026083410861,0.3836659180878348
Idukki,3d,4.4173824549295775,5.593263494793905,0.09192572404984978
Idukki,7d,5.808236473239438,8.410163276452828,-0.04481432203756186
Kakkayam,1d,2.220626500652174,3.082464853518718,0.10596373508643386
Kakkayam,3d,2.3327381919565213,3.399684956428737,-0.1217565069751052
Kakkayam,7d,2.565619098478261,3.6163181718802644,-0.19595880434020296
Kallarkutty,1d,2.9141952220338982,3.9243051050368853,0.10846466233429697
Kallarkutty,3d,3.4409502762711863,4.654360889327473,-0.4120056429621186
Kallarkutty,7d,4.383229759322035,5.3613238015281866,-0.574169288116662
Kundala,1d,0.22979719529577466,0.2953454254556001,-0.06573403631635322
Kundala,3d,0.24022392525352118,0.30761089071669495,-0.15135984763396726
Kundala,7d,0.26916873298591554,0.3487016971386742,-0.482927093777336
Mattupetty,1d,0.599565916366197,0.7857927933768375,-0.031866843626834784
Mattupetty,3d,0.5688498599999999,0.7370603599125476,0.015394254967271759
Mattupetty,7d,0.5961018889999999,0.7596637305675568,0.03911281087693197
Moozhiyar,1d,3.2099820070422536,3.5906116071039964,0.7552753086321518
Moozhiyar,3d,3.2530937774647883,3.8375988227381463,0.6836086344103851
Moozhiyar,7d,4.2526440253521125,4.9797469881727565,0.4844709683274061
Pamba,1d,0.8182141321126762,1.02388945280035,0.16739164916546279
Pamba,3d,0.9529776998591549,1.2281246609814986,-0.24054367517469766
Pamba,7d,1.0303044481690142,1.3394455404313044,-0.16613209868056833
Pambla,1d,3.31582916056338,4.460949792823877,0.4138660877339534
Pambla,3d,4.3567929464788735,5.954926939068365,-0.13598829579918315
Pambla,7d,5.586880085915494,7.3857501510065156,-0.30658698204212764
Ponmudi,1d,1.3120320190540542,1.8454276719910816,0.513293079728039
Ponmudi,3d,1.3591476827027027,1.7802428784921542,0.5143693689864315
Ponmudi,7d,1.6087807697297296,2.044600325533005,0.3095881959433855
Poringalkuthu,1d,1.9129913851351354,2.403181823269876,0.49059537468285164
Poringalkuthu,3d,2.2647519878378377,2.9113576547483735,0.007015772687968269
Poringalkuthu,7d,3.0196891783783784,4.019964484719935,-0.46965698910084797
Sholayar,1d,2.5888618954718305,5.54856561699159,0.5977478849890547
Sholayar,3d,3.194980836535211,6.436394276392428,0.4511271494685347
Sholayar,7d,4.713544448570423,8.194040422294071,0.09625972979071806
